"","log likelihood","AICc","Alpha Peak 1","Alpha Peak 2","Rate Peak 1","Rate Peak 2","Theta Peak 1","Theta Peak 2"
"112",64.0146750553916,-117.924086952888,40.4637243365686,40.4637243365686,0.0228480141710733,0.0228480141710733,0.0310031589295446,-0.0102201520491066
"113",60.5511876868281,-110.997112215762,100,100,0.0753574551565552,0.0753574551565552,0.0221495072068686,-0.00931362474855083
"114",63.2947330979881,-116.484203038081,38.6312702875716,38.6312702875716,0.0231652292700662,0.0231652292700662,0.0276067408748505,-0.0098393188397445
"115",64.1506147757355,-118.195966393576,41.4123788639166,41.4123788639166,0.0231191073437564,0.0231191073437564,0.0288192080199164,-0.0109281414923617
"116",63.0266257708535,-115.947988383812,100,100,0.0613114609236049,0.0613114609236049,0.0256024840101464,-0.00976667841213124
"117",63.0478506245034,-115.990438091112,100,100,0.0612027514296691,0.0612027514296691,0.0255892816834623,-0.0100556765854928
"118",62.8055916412014,-115.505920124508,100,100,0.0624499013423055,0.0624499013423055,0.0260416101592483,-0.00966015529358932
"119",63.0299263309858,-115.954589504077,100,100,0.0612970693076922,0.0612970693076922,0.0255763918012856,-0.00976871709100028
"120",61.0557937118082,-112.006324265722,100,100,0.0722534307292695,0.0722534307292695,0.024702925083646,-0.00823822733576222
"121",62.6485733615955,-115.191883565296,100,100,0.0632768862687395,0.0632768862687395,0.0274177668690945,-0.00932087851105919
"122",63.3526366499759,-116.600010142057,100,100,0.0596586465280554,0.0596586465280554,0.0274739232676892,-0.00974049366668725
"123",63.1236448470963,-116.142026536298,100,100,0.0608149922339429,0.0608149922339429,0.0243544412824097,-0.0118757652011631
"124",62.8137941267142,-115.522325095534,100,100,0.0624071599302902,0.0624071599302902,0.0291990654160392,-0.00888787611392173
"125",63.9832277898256,-117.861192421756,31.2549594401766,31.2549594401766,0.0176948102533233,0.0176948102533233,0.0267150465573777,-0.0113754276784003
"126",62.9425622233135,-115.779861288732,100,100,0.0617309432061242,0.0617309432061242,0.0255731151558976,-0.00976849082500186
"127",64.1636072356385,-118.221951313382,39.8933131214198,39.8933131214198,0.0222438184232756,0.0222438184232756,0.0263710781818335,-0.0122558790159933
"128",63.0660241384973,-116.0267851191,100,100,0.0611179894294355,0.0611179894294355,0.0267731623321761,-0.00969153759118108
"129",63.3927681347616,-116.680273111628,34.2047935539078,34.2047935539078,0.0203414702201191,0.0203414702201191,0.0270550903876361,-0.0103943790653226
"130",63.0629261363117,-116.020589114729,100,100,0.0611252560739661,0.0611252560739661,0.0262421581489359,-0.0104251844322273
"131",63.1735228614303,-116.241782564966,100,100,0.0605553530394505,0.0605553530394505,0.0272000879123805,-0.00961080509517818
"132",62.8010910824412,-115.496919006988,100,100,0.0624695146914292,0.0624695146914292,0.0264884712993736,-0.0100205458320879
"133",61.0869296474331,-112.068596136971,100,100,0.0720719310319376,0.0720719310319376,0.0247917385800935,-0.00827856324925045
"134",62.8226254088004,-115.539987659706,100,100,0.0623700029353285,0.0623700029353285,0.0258422178957818,-0.0096391778186002
"135",63.0726684857527,-116.040073813611,42.618567903026,42.618567903026,0.0260356963164219,0.0260356963164219,0.0261335317219317,-0.00977414508072575
"136",62.0713362603996,-114.037409362904,100,100,0.0663998237515953,0.0663998237515953,0.0256706779875809,-0.00918966590268348
